molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4536750,COc1ccc(NC(=O)C2CCN(c3nccn4cccc34)CC2)cc1Cl,1100.0
CHEMBL4439847,COc1ccc(NC(=O)C2CCN(c3ccc4ccccc4n3)CC2)cc1Cl,30000.0
CHEMBL4526427,COc1ccc(NC(=O)C2CCN(c3nccc4ccccc34)CC2)cc1Cl,2300.0
CHEMBL4469819,COc1ccc(NC(=O)C2CCN(c3ncnc4ccccc34)CC2)cc1Cl,4000.0
CHEMBL4446759,COc1ccc(NC(=O)C2CCN(c3ncccc3C)CC2)cc1Cl,100.0
CHEMBL4546577,COc1ccc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,100.0
CHEMBL4534539,COc1ccc(NC(=O)C2CCN(c3ncccc3Br)CC2)cc1Cl,50.0
CHEMBL4457755,COc1ccc(NC(=O)C2CCN(c3ncccc3SC)CC2)cc1Cl,980.0
CHEMBL4525068,COc1ccc(NC(=O)C2CCN(c3ncccc3OC)CC2)cc1Cl,350.0
CHEMBL4594202,COc1ccc(NC(=O)C2CCN(c3ncccc3C(F)(F)F)CC2)cc1Cl,410.0
CHEMBL4562750,CCc1cccnc1N1CCC(C(=O)Nc2ccc(OC)c(Cl)c2)CC1,830.0
CHEMBL4475053,COc1ccc(NC(=O)C2CCN(c3ncccc3S(C)(=O)=O)CC2)cc1Cl,6030.0
CHEMBL4459148,COc1ccc(NC(=O)C2CCN(c3ccccn3)CC2)cc1Cl,3390.0
CHEMBL4442542,COc1ccc(NC(=O)C2CCN(c3nc(C)ccc3Cl)CC2)cc1Cl,550.0
CHEMBL4434699,COc1ccc(NC(=O)C2CCN(c3nccc(C)c3C)CC2)cc1Cl,17800.0
CHEMBL4566269,COc1ccc(NC(=O)C2CCN(c3ncccc3Oc3cccnc3)CC2)cc1Cl,4270.0
CHEMBL4514407,COc1ccc(NC(=O)C2CCN(c3ncccc3-c3cnn(C)c3)CC2)cc1Cl,13500.0
CHEMBL4541376,COc1ccc(NC(=O)C2CCN(c3ccccc3Cl)CC2)cc1Cl,230.0
CHEMBL4551225,COc1ccc(NC(=O)C2CCN(c3ncccc3C)C(C)C2)cc1Cl,50.0
CHEMBL4556101,COc1ccc(NC(=O)C2CCN(c3ncccc3Br)C(C)C2)cc1Cl,50.0
CHEMBL4556123,COc1ccc(NC(=O)C2CCN(c3ncccc3C)CC2C)cc1Cl,230.0
CHEMBL4476038,CC[C@@H]1C[C@H](C(=O)Nc2ccc(OC)c(Cl)c2)CCN1c1ncccc1C,290.0
CHEMBL4438687,COc1ccc(NC(=O)C2(C)CCN(c3ncccc3C)CC2)cc1Cl,30000.0
CHEMBL4536412,COc1ccc(N2CCC3(CCN(c4ncccc4C)CC3)C2=O)cc1Cl,11200.0
CHEMBL4458952,O=C(Nc1ccc(OC(F)(F)F)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,1740.0
CHEMBL4471046,O=C(Nc1cc(Cl)c2occc2c1)C1CCN(c2ncccc2Cl)CC1,100.0
CHEMBL4443047,COc1ncc(NC(=O)C2CCN(c3ncccc3Br)CC2)cc1Cl,30.0
CHEMBL4460951,COc1cnc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,130.0
CHEMBL4470809,O=C(Nc1cnc(OC2CC2)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,40.0
CHEMBL4565085,O=C(Nc1cnc(Oc2cccnc2)c(Cl)c1)C1CCN(c2ncccc2Cl)CC1,130.0
CHEMBL4559304,O=C1COc2c(Cl)cc(NC(=O)C3CCN(c4ncccc4Cl)CC3)cc2N1,20.0
CHEMBL4471723,CNc1ncc(NC(=O)C2CCN(c3ncccc3Cl)CC2)cc1Cl,1000.0
CHEMBL4537193,O=C1COc2ccc(NC(=O)C3CCN(c4ncccc4Cl)CC3)cc2N1,540.0
CHEMBL4591083,COc1ccc(NC(=O)[C@@H]2CCN(c3ncccc3Br)[C@H](C)C2)cc1Cl,10.0
CHEMBL4550900,COc1ccc(NC(=O)[C@H]2CCN(c3ncccc3Br)[C@H](C)C2)cc1Cl,180.0
CHEMBL4437710,COc1ccc(NC(=O)[C@@H]2CCN(c3ncccc3Br)[C@@H](C)C2)cc1Cl,150.0
CHEMBL4453860,COc1ccc(NC(=O)[C@H]2CCN(c3ncccc3Br)[C@@H](C)C2)cc1Cl,17400.0
CHEMBL4534670,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NC(CCCNC(=N)N)C(=O)CF,16.0
CHEMBL4575326,COC(=O)C1=CC=COc2oc3cc(C)cc(O)c3c(=O)c21,50900.0
CHEMBL4441858,COC(=O)C1=CC(C)=COc2oc3cccc(O)c3c(=O)c21,32100.0
CHEMBL4751202,Cc1ncncc1NC(=O)Nc1cnc(-n2nccn2)c(Cl)c1,20000.0
CHEMBL4783451,CC(C)c1ncncc1NC(=O)Nc1cnc(-n2nccn2)c(Cl)c1,1980.0
CHEMBL4777911,Cc1cc(C)c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cn1,19300.0
CHEMBL4799622,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cncc2ccccc12,6020.0
CHEMBL4759864,Cc1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccc(Br)cc12,160.0
CHEMBL4748253,CO[C@@H](C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,6.0
CHEMBL4782908,Cc1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccccc12,237.0
CHEMBL4742156,CC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccccc12,78.0
CHEMBL4760252,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2ccccc2c1C1CCCC1,451.0
CHEMBL4762086,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2ccccc2c1C1CC1,7.0
CHEMBL4784606,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2cc(Cl)ccc2c1C1CC1,432.0
CHEMBL4784740,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2ccc(Cl)cc2c1C1CC1,2.0
CHEMBL4740768,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2cc(F)ccc2c1C1CC1,92.0
CHEMBL4741853,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2ccc(F)cc2c1C1CC1,6.0
CHEMBL4780316,COc1ccc2c(C3CC3)c(NC(=O)Nc3cnc(-n4nccn4)c(Cl)c3)cnc2c1,20000.0
CHEMBL4740000,COc1ccc2ncc(NC(=O)Nc3cnc(-n4nccn4)c(Cl)c3)c(C3CC3)c2c1,13.0
CHEMBL4790415,COC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccccc12,33.0
CHEMBL4763765,CCOC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccccc12,55.0
CHEMBL4755479,COC(C)(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccccc12,165.0
CHEMBL4751498,CC(O)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccccc12,28.0
CHEMBL4791759,COC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccc(F)cc12,18.0
CHEMBL4749826,CCOC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccc(F)cc12,27.0
CHEMBL4789469,COC(C)(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccc(F)cc12,35.0
CHEMBL4779581,CC(O)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2ccc(F)cc12,7.0
CHEMBL4794268,Cc1nc2c(C3CC3)c(NC(=O)Nc3cnc(-n4nccn4)c(Cl)c3)cnc2s1,46.0
CHEMBL4749854,COC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2sc(C)nc12,30.0
CHEMBL4784899,CCOC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2sc(C)nc12,36.0
CHEMBL4788571,Cc1nc2c(C(C)O)c(NC(=O)Nc3cnc(-n4nccn4)c(Cl)c3)cnc2s1,69.0
CHEMBL1336903,COc1ccc(NC(=O)NC2COc3ccccc3C2)cc1Cl,2300.0
CHEMBL4783666,COc1ccc(NC(=O)NC2COc3ccc(C#N)cc3C2)cc1Cl,1920.0
CHEMBL4751838,COc1ccc(NC(=O)NC2COc3ccc(F)cc3C2)cc1Cl,1250.0
CHEMBL4742888,COc1ccc(NC(=O)NC2CSc3ccc(F)cc3C2)cc1Cl,4270.0
CHEMBL4786633,O=C(Nc1ccc(-n2cncn2)c(Cl)c1)N[C@H]1COc2ccc(Br)cc2C1,1960.0
CHEMBL4747104,COc1ncc(NC(=O)NC2COc3ccc(Br)cc3C2)cc1Cl,3540.0
CHEMBL4754209,COc1ccc(NC(=O)Nc2cnc3ccc(Br)cc3c2)cc1Cl,4820.0
CHEMBL4798110,COc1ccc(NC(=O)Nc2cnc3ccc(Br)cc3c2Cl)cc1Cl,510.0
CHEMBL4785146,COc1ccc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N(C)C2CCOCC2)cc1Cl,670.0
CHEMBL4748505,COc1ncc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N(C)C2CCOCC2)cc1Cl,190.0
CHEMBL4765158,COc1ccc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N2CCOC[C@@H]2C)cc1Cl,120.0
CHEMBL4796575,COc1ncc(NC(=O)Nc2cnc3ccc(C#N)cc3c2N2CCOC[C@@H]2C)cc1Cl,37.0
CHEMBL4795854,COc1ncc(NC(=O)Nc2cnc3cc(Br)nn3c2N2CCOC[C@@H]2C)cc1Cl,740.0
CHEMBL4757361,COc1ncc(NC(=O)Nc2cnc3cc(Cl)nn3c2N2CCOCC2(C)C)cc1Cl,80.0
CHEMBL4795909,CC1(C)COCCN1c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,280.0
CHEMBL4754690,COc1ncc(NC(=O)Nc2cnc3cc(Cl)nn3c2N2[C@@H](C)COC[C@@H]2C)cc1Cl,330.0
CHEMBL4796225,C[C@H]1COC[C@H](C)N1c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,160.0
CHEMBL4764115,COc1ccc(NC(=O)N[C@H]2COc3ccccc3C2)cc1Cl,135.0
CHEMBL4745442,COc1ccc(NC(=O)N[C@@H]2COc3ccccc3C2)cc1Cl,100000.0
CHEMBL4761510,COc1ccc(NC(=O)NC2COc3ccc(Br)cc3C2)cc1Cl,50.0
CHEMBL4756613,COc1ccc(NC(=O)NC2CCc3ccccc3C2)cc1Cl,100000.0
CHEMBL4756051,COc1ccc(NC(=O)CC2COc3ccccc3C2)cc1Cl,1000.0
CHEMBL4752603,COc1ccc(CC(=O)NC2COc3ccccc3C2)cc1Cl,100000.0
CHEMBL4779836,COc1ccc(N(C)C(=O)NC2COc3ccc(Br)cc3C2)cc1Cl,100000.0
CHEMBL4779204,COc1ccc(NC(=O)N(C)C2COc3ccc(Br)cc3C2)cc1Cl,100000.0
CHEMBL4756634,COc1ncc(NC(=O)Nc2cnc3ccc(F)cc3c2N(C)C2CCCN(C)C2)cc1Cl,70.0
CHEMBL4758420,C[C@H]1COCCN1c1c(NC(=O)Nc2cnc(OC3CCN(C)CC3)c(Cl)c2)cnc2ccc(F)cc12,70.0
CHEMBL4785617,Cc1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,998.0
CHEMBL4784806,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,15.0
CHEMBL4745946,CC(C)c1c(NC(=O)Nc2cnc(-n3nccn3)c(Cl)c2)cnc2cc(Cl)nn12,3.0
CHEMBL4786953,O=C(Nc1cnc(-n2nccn2)c(Cl)c1)Nc1cnc2cc(Cl)nn2c1C1CC1,5.0
